Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
,,,,Altman,Quarter,Quarter,Fiscal,Fiscal,Current,Total,Current,Total,Earnings/,Attributable,Working,Fiscal Year,YTD,YTD,LTM,Fiscal Year,YTD,YTD,LTM,Shares,Share,Market,Book Value of Equity,X1,X2,X3,X4,Total Assets,Total Assets,Total Assets,Total Liabilities,X1,X2,X3,X4,Altman,
Ticker,Company,Sector,Industry,Z-Score,Risk,Quarter Ending,Quarter,Year,Assets,Assets,Liabilities,Liabilities,(Deficit),to Parent,Capital,Revenue,Revenue,Revenue,Revenue,Op. Income,Op. Income,Op. Income,Revenue,Outstanding,Price,Cap,Equity,Coefficient,Coefficient,Coefficient,Coefficient,(X1),(X2),(X3),(X4),Score,Score,Score,Score,Z-Score,Risk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVR,NVR INC,Services,Construction, 12.77 , Low ,2020-03-31,1,2020," 3,030.0 "," 3,887.5 "," 1,470.6 "," 1,470.6 "," 8,085.6 "," 2,416.9 "," 1,559.4 "," 7,388.7 "," 1,582.5 "," 1,687.0 "," 7,284.2 "," 1,011.4 ", 159.4 , 215.7 , 955.1 , 3.9 ,3943.55," 15,411.39 "," 2,417 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.401 , 2.080 , 0.246 , 1.643 , 2.63 , 6.78 , 1.65 , 1.71 , 12.77 , Low 
MKTX,MARKETAXESS HOLDINGS INC,Financial,Financial Services, 12.32 , Low ,2020-06-30,2,2020, 675.8 ," 1,039.2 ", 160.8 , 185.7 , 704.2 , 853.5 , 515.0 , 511.4 , 353.8 , 250.0 , 615.1 , 250.9 , 195.2 , 124.1 , 322.0 , 38.1 ,516.55," 19,688.30 ", 853 , 6.56 , 3.26 , 6.72 , 1.04 , 0.496 , 0.678 , 0.310 , 4.595 , 3.25 , 2.21 , 2.08 , 4.78 , 12.32 , Low 
FAST,FASTENAL CO,Trade,Wholesale, 9.44 , Low ,2020-06-30,2,2020," 2,606.3 "," 4,085.2 ", 631.3 ," 1,302.2 "," 2,788.6 "," 2,783.0 "," 1,975.0 "," 5,333.7 "," 2,876.0 "," 2,677.7 "," 5,532.0 "," 1,056.0 ", 587.2 , 535.6 ," 1,107.6 ", 575.1 ,46.91," 26,979.27 "," 2,783 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.483 , 0.683 , 0.271 , 2.137 , 3.17 , 2.23 , 1.82 , 2.22 , 9.44 , Low 
ANET,"ARISTA NETWORKS, INC.",Services,Technology Services, 9.35 , Low ,2020-03-31,1,2020," 3,336.9 "," 4,111.8 ", 573.0 ," 1,263.0 "," 1,698.8 "," 2,848.8 "," 2,763.9 "," 2,410.7 ", 523.0 , 595.4 ," 2,338.3 ", 805.8 , 149.7 , 194.3 , 761.1 , 79.9 ,249.39," 19,935.99 "," 2,849 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.672 , 0.413 , 0.185 , 2.256 , 4.41 , 1.35 , 1.24 , 2.35 , 9.35 , Low 
INTU,INTUIT INC,Services,Technology Services, 9.22 , Low ,2020-04-30,3,2020," 4,862.0 "," 7,764.0 "," 2,713.0 "," 3,024.0 "," 10,581.0 "," 4,740.0 "," 2,149.0 "," 6,784.0 "," 5,863.0 "," 5,790.0 "," 6,857.0 "," 1,854.0 "," 1,693.0 "," 2,007.0 "," 1,540.0 ", 264.0 ,303.94," 80,240.16 "," 4,740 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.277 , 1.363 , 0.198 , 1.567 , 1.82 , 4.44 , 1.33 , 1.63 , 9.22 , Low 
TROW,PRICE T ROWE GROUP INC,Financial,Financial Services, 8.91 , Low ,2020-06-30,2,2020," 2,713.8 "," 9,477.3 "," 1,636.5 "," 1,636.5 "," 6,102.9 "," 6,750.7 "," 1,077.3 "," 5,617.9 "," 2,878.0 "," 2,722.5 "," 5,773.4 "," 2,387.0 "," 1,260.9 "," 1,147.6 "," 2,500.3 ", 233.1 ,134.47," 31,344.96 "," 6,751 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.114 , 0.644 , 0.264 , 4.125 , 0.75 , 2.10 , 1.77 , 4.29 , 8.91 , Low 
FB,FACEBOOK INC,Services,Technology Services, 8.57 , Low ,2020-03-31,1,2020," 69,349.0 "," 138,371.0 "," 15,069.0 "," 33,067.0 "," 59,160.0 "," 105,304.0 "," 54,280.0 "," 70,697.0 "," 17,737.0 "," 15,077.0 "," 73,357.0 "," 23,986.0 "," 5,893.0 "," 3,317.0 "," 26,562.0 "," 2,868.0 ",234.5," 672,546.00 "," 105,304 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.392 , 0.428 , 0.192 , 3.185 , 2.57 , 1.39 , 1.29 , 3.31 , 8.57 , Low 
GWW,"W.W. GRAINGER, INC.",Trade,Wholesale, 8.36 , Low ,2020-06-30,2,2020," 4,918.0 "," 7,194.0 "," 1,388.0 "," 5,042.0 "," 8,536.0 "," 1,929.0 "," 3,530.0 "," 11,486.0 "," 5,838.0 "," 5,692.0 "," 11,632.0 "," 1,262.0 ", 364.0 , 743.0 , 883.0 , 53.8 ,339.79," 18,280.70 "," 2,152 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.491 , 1.187 , 0.123 , 0.427 , 3.22 , 3.87 , 0.82 , 0.44 , 8.36 , Low 
GOOGL,ALPHABET INC.,Services,Technology Services, 8.08 , Low ,2020-06-30,2,2020," 149,069.0 "," 278,492.0 "," 43,658.0 "," 71,170.0 "," 151,681.0 "," 207,322.0 "," 105,411.0 "," 161,857.0 "," 79,456.0 "," 75,283.0 "," 166,030.0 "," 34,231.0 "," 14,360.0 "," 15,788.0 "," 32,803.0 ", 736.0 ,1538.37," 1,132,284.93 "," 207,322 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.379 , 0.545 , 0.118 , 2.913 , 2.48 , 1.78 , 0.79 , 3.03 , 8.08 , Low 
BEN,FRANKLIN RESOURCES INC,Financial,Financial Services, 8.13 , Low ,2020-06-30,3,2020," 7,903.7 "," 15,617.0 "," 2,184.4 "," 3,899.5 "," 10,514.8 "," 10,114.2 "," 5,719.3 "," 5,774.5 "," 3,939.1 "," 4,322.0 "," 5,391.6 "," 1,557.4 "," 1,002.5 "," 1,165.9 "," 1,394.0 ", 492.7 ,20.67," 10,184.11 "," 11,004 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.366 , 0.673 , 0.089 , 2.822 , 2.40 , 2.19 , 0.60 , 2.93 , 8.13 , Low 
BKNG,BOOKING HOLDINGS INC.,Services,Technology Services, 7.93 , Low ,2020-03-31,1,2020," 9,260.0 "," 17,862.0 "," 4,136.0 "," 14,031.0 "," 22,530.0 "," 3,831.0 "," 5,124.0 "," 15,066.0 "," 2,288.0 "," 2,837.0 "," 14,517.0 "," 5,345.0 ", (409.0), 556.0 ," 4,380.0 ", 41.1 ,1687.74," 69,354.30 "," 3,831 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.287 , 1.261 , 0.245 , 0.273 , 1.88 , 4.11 , 1.65 , 0.28 , 7.93 , Low 
MA,MASTERCARD INC,Financial,Financial Services, 7.75 , Low ,2020-06-30,2,2020," 19,381.0 "," 32,127.0 "," 9,923.0 "," 25,579.0 "," 36,288.0 "," 6,470.0 "," 9,458.0 "," 16,883.0 "," 7,344.0 "," 8,002.0 "," 16,225.0 "," 9,664.0 "," 3,918.0 "," 4,610.0 "," 8,972.0 "," 1,009.0 ",309," 311,781.00 "," 6,498 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.294 , 1.130 , 0.279 , 0.254 , 1.93 , 3.68 , 1.88 , 0.26 , 7.75 , Low 
ODFL,"OLD DOMINION FREIGHT LINE, INC.",Services,Transportation, 7.80 , Low ,2020-03-31,1,2020, 831.0 ," 3,935.0 ", 428.3 , 918.9 ," 2,787.0 "," 3,016.0 ", 402.7 ," 4,109.1 ", 987.4 , 990.8 ," 4,105.7 ", 818.7 , 183.2 , 178.4 , 823.5 , 119.8 ,180.21," 21,590.16 "," 3,016 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.102 , 0.708 , 0.209 , 3.282 , 0.67 , 2.31 , 1.41 , 3.41 , 7.80 , Low 
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,Services,Transportation, 7.63 , Low ,2020-03-31,1,2020," 2,618.8 "," 3,510.0 "," 1,159.2 "," 1,472.8 "," 2,202.2 "," 2,034.8 "," 1,459.6 "," 8,175.4 "," 1,901.9 "," 2,020.1 "," 8,057.2 ", 766.7 , 159.1 , 187.6 , 738.1 , 171.5 ,83.02," 14,233.78 "," 2,037 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.416 , 0.627 , 0.210 , 1.383 , 2.73 , 2.05 , 1.41 , 1.44 , 7.63 , Low 
DHI,HORTON D R INC /DE/,Services,Construction, 7.75 , Low ,2020-06-30,3,2020," 16,014.0 "," 17,973.9 "," 6,646.8 "," 6,646.8 "," 8,992.5 "," 11,048.0 "," 9,367.2 "," 17,592.9 "," 13,910.8 "," 12,554.0 "," 18,949.7 "," 2,039.5 "," 1,841.0 "," 1,387.6 "," 2,492.9 ", 370.4 ,66.05," 24,464.92 "," 11,327 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.521 , 0.500 , 0.139 , 1.704 , 3.42 , 1.63 , 0.93 , 1.77 , 7.75 , Low 
EA,ELECTRONIC ARTS INC.,Services,Technology Services, 7.48 , Low ,2020-03-31,4,2020," 6,517.0 "," 11,112.0 "," 2,664.0 "," 3,651.0 "," 7,508.0 "," 7,461.0 "," 3,853.0 "," 5,537.0 "," 5,537.0 "," 4,950.0 "," 5,537.0 "," 1,445.0 "," 1,445.0 ", 996.0 ," 1,445.0 ", 295.0 ,138.59," 40,884.05 "," 7,461 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.347 , 0.676 , 0.130 , 2.044 , 2.27 , 2.20 , 0.87 , 2.13 , 7.48 , Low 
CPRT,COPART INC,Trade,Wholesale, 7.28 , Low ,2020-04-30,3,2020, 794.2 ," 3,161.6 ", 286.6 , 880.6 ," 1,773.6 "," 2,281.0 ", 507.6 ," 2,042.0 "," 1,679.9 "," 1,499.4 "," 2,222.5 ", 716.5 , 610.4 , 523.7 , 803.2 , 238.6 ,92.73," 22,122.04 "," 2,281 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.161 , 0.561 , 0.254 , 2.590 , 1.05 , 1.83 , 1.71 , 2.69 , 7.28 , Low 
LEN,LENNAR CORP /NEW/,Services,Construction, 7.16 , Low ,2020-05-31,2,2020," 19,655.2 "," 29,309.0 "," 1,033.6 "," 12,676.4 "," 9,132.7 "," 16,542.7 "," 18,621.6 "," 22,259.6 "," 9,792.7 "," 9,431.0 "," 22,621.3 "," 2,461.2 "," 1,148.7 ", 922.4 ," 2,687.5 ", 309.8 ,72.28," 22,391.91 "," 16,633 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.635 , 0.312 , 0.092 , 1.312 , 4.17 , 1.02 , 0.62 , 1.36 , 7.16 , Low 
JKHY,HENRY JACK & ASSOCIATES INC,Services,Technology Services, 7.12 , Low ,2020-03-31,3,2020, 479.7 ," 2,229.4 ", 298.4 , 715.6 ," 2,206.9 "," 1,513.9 ", 181.2 ," 1,552.7 "," 1,286.5 "," 1,159.2 "," 1,680.0 ", 347.3 , 306.9 , 268.1 , 386.2 , 77.0 ,178.49," 13,736.95 "," 1,514 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.081 , 0.990 , 0.173 , 2.116 , 0.53 , 3.23 , 1.16 , 2.20 , 7.12 , Low 
ANSS,ANSYS INC,Services,Technology Services, 7.00 , Low ,2020-03-31,1,2020," 1,290.7 "," 4,526.1 ", 537.1 ," 1,233.7 "," 3,416.8 "," 3,292.4 ", 753.6 ," 1,515.9 ", 305.0 , 317.1 ," 1,503.7 ", 515.0 , 34.1 , 95.6 , 453.5 , 87.4 ,309.67," 27,055.56 "," 3,292 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.166 , 0.755 , 0.100 , 2.669 , 1.09 , 2.46 , 0.67 , 2.78 , 7.00 , Low 
SPGI,S&P GLOBAL INC.,Services,Business Services, 6.96 , Low ,2020-06-30,2,2020," 4,459.0 "," 11,105.0 "," 3,040.0 "," 8,434.0 "," 13,189.0 ", 210.0 ," 1,419.0 "," 6,699.0 "," 3,729.0 "," 3,275.0 "," 7,153.0 "," 3,177.0 "," 2,009.0 "," 1,518.0 "," 3,668.0 ", 242.6 ,352.37," 85,484.96 ", 268 , 6.56 , 3.26 , 6.72 , 1.04 , 0.128 , 1.188 , 0.330 , 0.032 , 0.84 , 3.87 , 2.22 , 0.03 , 6.96 , Low 
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Services,Business Services, 6.34 , Low ,2020-06-30,2,2020," 8,531.0 "," 18,216.0 "," 3,212.0 "," 7,244.0 "," 11,072.0 "," 10,972.0 "," 5,319.0 "," 16,783.0 "," 8,225.0 "," 8,251.0 "," 16,757.0 "," 2,453.0 "," 1,046.0 "," 1,158.0 "," 2,341.0 ", 544.0 ,69.18," 37,633.92 "," 10,972 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.292 , 0.608 , 0.129 , 1.515 , 1.92 , 1.98 , 0.86 , 1.58 , 6.34 , Low 
TYL,TYLER TECHNOLOGIES INC,Services,Technology Services, 6.33 , Low ,2020-06-30,2,2020, 873.9 ," 2,382.6 ", 494.3 , 553.3 ," 1,018.8 "," 1,829.3 ", 379.7 ," 1,086.4 ", 547.6 , 522.2 ," 1,111.9 ", 156.4 , 75.2 , 71.2 , 160.4 , 41.5 ,350.04," 14,537.86 "," 1,829 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.159 , 0.428 , 0.067 , 3.306 , 1.05 , 1.39 , 0.45 , 3.44 , 6.33 , Low 
NUE,NUCOR CORP,Resources,Metals & Mining, 6.22 , Low ,2020-04-04,1,2020," 7,847.3 "," 17,866.1 "," 2,218.6 "," 7,270.0 "," 11,012.7 "," 10,168.2 "," 5,628.7 "," 22,588.9 "," 5,624.3 "," 6,096.6 "," 22,116.6 "," 1,900.9 ", 475.9 , 715.2 ," 1,661.6 ", 302.9 ,42.7," 12,935.20 "," 10,596 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.315 , 0.616 , 0.093 , 1.458 , 2.07 , 2.01 , 0.62 , 1.52 , 6.22 , Low 
CTAS,CINTAS CORP,Services,Business Services, 6.10 , Low ,2020-05-31,4,2020," 2,309.7 "," 7,669.9 ", 885.2 ," 4,434.7 "," 7,296.5 "," 3,235.2 "," 1,424.5 "," 7,085.1 "," 7,085.1 "," 6,892.3 "," 7,085.1 "," 1,162.7 "," 1,162.7 "," 1,133.5 "," 1,162.7 ", 107.0 ,301.81," 32,297.29 "," 3,235 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.186 , 0.951 , 0.152 , 0.730 , 1.22 , 3.10 , 1.02 , 0.76 , 6.10 , Low 
TWTR,"TWITTER, INC.",Services,Technology Services, 5.82 , Low ,2020-03-31,1,2020," 8,467.6 "," 13,540.7 ", 710.0 ," 4,745.1 ", 1.6 ," 8,795.6 "," 7,757.6 "," 3,459.3 ", 807.6 , 786.9 ," 3,480.1 ", 366.4 , (7.4), 93.7 , 265.3 , 780.7 ,36.72," 28,666.86 "," 8,796 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.573 , 0.000 , 0.020 , 1.854 , 3.76 , 0.00 , 0.13 , 1.93 , 5.82 , Low 
CERN,CERNER CORP,Services,Technology Services, 5.93 , Low ,2020-06-30,2,2020," 2,053.5 "," 6,879.3 "," 1,006.8 "," 2,861.3 "," 6,101.4 "," 4,018.0 "," 1,046.7 "," 5,692.6 "," 2,742.1 "," 2,820.9 "," 5,613.8 ", 600.7 , 325.3 , 329.1 , 596.9 , 309.5 ,71.26," 22,056.40 "," 4,018 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.152 , 0.887 , 0.087 , 1.404 , 1.00 , 2.89 , 0.58 , 1.46 , 5.93 , Low 
ATVI,"ACTIVISION BLIZZARD, INC.",Services,Technology Services, 5.48 , Low ,2020-03-31,1,2020," 7,119.0 "," 19,604.0 "," 2,560.0 "," 6,583.0 "," 7,999.0 "," 13,021.0 "," 4,559.0 "," 6,489.0 "," 1,788.0 "," 1,825.0 "," 6,452.0 "," 1,607.0 ", 612.0 , 570.0 ," 1,649.0 ", 774.0 ,81.7," 63,235.80 "," 13,021 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.233 , 0.408 , 0.084 , 1.978 , 1.53 , 1.33 , 0.57 , 2.06 , 5.48 , Low 
EBAY,EBAY INC,Services,Technology Services, 5.47 , Low ,2020-06-30,2,2020," 7,394.0 "," 20,014.0 "," 4,692.0 "," 17,112.0 "," 21,681.0 "," 2,902.0 "," 2,702.0 "," 10,800.0 "," 5,239.0 "," 4,836.0 "," 11,203.0 "," 2,321.0 "," 1,450.0 "," 1,151.0 "," 2,620.0 ", 734.0 ,54.72," 40,164.48 "," 2,902 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.135 , 1.083 , 0.131 , 0.170 , 0.89 , 3.53 , 0.88 , 0.18 , 5.47 , Low 
RMD,RESMED INC,Services,Healthcare Services, 5.40 , Low ,2020-03-31,3,2020," 1,469.8 "," 4,510.5 ", 551.5 ," 2,254.1 "," 2,711.6 "," 2,256.4 ", 918.2 ," 2,606.6 "," 2,186.7 "," 1,901.6 "," 2,891.6 ", 585.4 , 586.4 , 458.2 , 713.6 , 145.5 ,204.46," 29,746.89 "," 2,256 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.204 , 0.601 , 0.158 , 1.001 , 1.34 , 1.96 , 1.06 , 1.04 , 5.40 , Low 
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",Services,Transportation, 5.32 , Low ,2020-03-31,1,2020," 2,606.6 "," 4,848.3 "," 1,804.7 "," 3,261.2 "," 4,153.1 "," 1,587.1 ", 801.9 ," 15,309.5 "," 3,805.0 "," 3,751.2 "," 15,363.3 ", 790.0 , 109.4 , 224.6 , 674.9 , 136.0 ,93.56," 12,721.26 "," 1,587 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.165 , 0.857 , 0.139 , 0.487 , 1.09 , 2.79 , 0.94 , 0.51 , 5.32 , Low 
APD,AIR PRODUCTS & CHEMICALS INC /DE/,Resources,Chemicals, 5.22 , Low ,2020-06-30,3,2020," 9,006.5 "," 24,782.1 "," 2,591.0 "," 12,758.7 "," 14,686.6 "," 11,659.3 "," 6,415.5 "," 8,918.9 "," 6,536.2 "," 6,635.7 "," 8,819.4 "," 2,169.8 "," 1,643.6 "," 1,566.6 "," 2,246.8 ", 222.3 ,284.81," 63,313.26 "," 12,023 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.259 , 0.593 , 0.091 , 0.942 , 1.70 , 1.93 , 0.61 , 0.98 , 5.22 , Low 
MCO,MOODYS CORP /DE/,Financial,Financial Services, 5.21 , Low ,2020-03-31,1,2020," 3,994.0 "," 11,306.0 "," 2,351.0 "," 10,501.0 "," 10,041.0 ", 582.0 ," 1,643.0 "," 4,829.0 "," 1,290.0 "," 1,142.0 "," 4,977.0 "," 2,015.0 ", 601.0 , 463.0 ," 2,153.0 ", 189.6 ,283.77," 53,802.79 ", 799 , 6.56 , 3.26 , 6.72 , 1.04 , 0.145 , 0.888 , 0.190 , 0.076 , 0.95 , 2.90 , 1.28 , 0.08 , 5.21 , Low 
